City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Labuhan,ID,77.97,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
8,Georgetown,MY,85.93,haze,5.4112,100.3354,Cititel Penang
10,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
11,Bethel,US,75.49,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
12,Mareeba,AU,76.48,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
13,Lohardaga,IN,76.86,overcast clouds,23.4333,84.6833,Shorya Sweet Palace
14,Sorong,ID,81.82,overcast clouds,-0.8833,131.25,waigo splash hotel
18,Dingle,PH,85.23,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
23,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
24,Pacific Grove,US,83.01,scattered clouds,36.6177,-121.9166,Lovers Point Inn
25,Ponta Do Sol,PT,76.01,clear sky,32.6667,-17.1,Hotel do Campo
32,Tigzirt,DZ,76.33,few clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
37,Hithadhoo,MV,80.46,moderate rain,-0.6,73.0833,Scoop Guest House
42,Manggar,ID,83.16,clear sky,-2.8833,108.2667,Guest Hotel
44,Mana,GF,77.45,overcast clouds,5.6592,-53.7767,LE SAMANA
46,Lorengau,PG,84.47,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
47,Kapaa,US,87.78,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Faanui,PF,78.04,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
53,Muli,MV,82.44,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
61,Peleduy,RU,78.42,scattered clouds,59.6289,112.7406,Гостиница «Уют»
64,Anaconda,US,86.99,clear sky,46.1285,-112.9423,Trade Wind Motel
66,Bubaque,GW,79.3,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
76,Lompoc,US,81.12,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
84,Atuona,PF,78.3,clear sky,-9.8,-139.0333,Villa Enata
85,Acarau,BR,77.7,clear sky,-2.8856,-40.12,castelo pizzaria
86,Sarangani,PH,84.33,overcast clouds,5.4033,125.4636,Ballistic Islet
