City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Esperance,AU,-33.8667,121.9,55.24,79,5,20.42,2021-07-26 01:20:20,clear sky
1,Qaanaaq,GL,77.484,-69.3632,39.97,68,100,0.65,2021-07-26 01:24:58,overcast clouds
2,Tiksi,RU,71.6872,128.8694,51.4,90,99,5.91,2021-07-26 01:24:58,light rain
3,Mahebourg,MU,-20.4081,57.7,70.09,64,75,10.36,2021-07-26 01:24:58,broken clouds
4,Airai,TL,-8.9266,125.4092,71.62,31,70,2.98,2021-07-26 01:24:58,broken clouds
5,Khatanga,RU,71.9667,102.5,57.88,63,49,2.15,2021-07-26 01:24:59,scattered clouds
6,Labuhan,ID,-6.8844,112.2051,77.97,69,4,6.13,2021-07-26 01:24:59,clear sky
7,Karratha,AU,-20.7377,116.8463,74.3,39,78,4.07,2021-07-26 01:24:59,broken clouds
8,Georgetown,MY,5.4112,100.3354,85.93,83,20,1.01,2021-07-26 01:24:59,haze
9,Punta Arenas,CL,-53.15,-70.9167,33.91,93,0,16.11,2021-07-26 01:24:30,clear sky
10,Hilo,US,19.7297,-155.09,78.53,89,90,8.05,2021-07-26 01:25:00,light rain
11,Bethel,US,41.3712,-73.414,75.49,89,0,2.98,2021-07-26 01:24:16,clear sky
12,Mareeba,AU,-17.0,145.4333,76.48,56,35,5.75,2021-07-26 01:25:00,scattered clouds
13,Lohardaga,IN,23.4333,84.6833,76.86,86,100,5.86,2021-07-26 01:25:00,overcast clouds
14,Sorong,ID,-0.8833,131.25,81.82,72,100,10.45,2021-07-26 01:25:01,overcast clouds
15,Wamba,NG,8.9333,8.6,70.23,97,98,2.24,2021-07-26 01:25:01,light rain
16,Wasilla,US,61.5814,-149.4394,67.35,60,90,0.0,2021-07-26 01:25:01,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,71.33,73,17,5.64,2021-07-26 01:23:11,few clouds
18,Dingle,PH,10.9995,122.6711,85.23,71,91,15.3,2021-07-26 01:25:01,overcast clouds
19,Hermanus,ZA,-34.4187,19.2345,50.81,51,100,10.0,2021-07-26 01:25:02,overcast clouds
20,Asau,RO,46.4333,26.4,63.75,82,5,3.94,2021-07-26 01:25:02,clear sky
21,Sitka,US,57.0531,-135.33,55.29,82,90,3.44,2021-07-26 01:23:16,overcast clouds
22,Murgab,TM,37.4966,61.9714,80.47,39,0,9.22,2021-07-26 01:25:03,clear sky
23,Vaini,TO,-21.2,-175.2,80.76,83,20,9.22,2021-07-26 01:25:03,few clouds
24,Pacific Grove,US,36.6177,-121.9166,83.01,85,40,7.0,2021-07-26 01:21:59,scattered clouds
25,Ponta Do Sol,PT,32.6667,-17.1,76.01,82,1,1.14,2021-07-26 01:20:58,clear sky
26,Arlit,NE,18.7369,7.3853,95.76,18,100,9.13,2021-07-26 01:25:04,overcast clouds
27,Albany,US,42.6001,-73.9662,73.38,93,0,4.05,2021-07-26 01:25:04,clear sky
28,Hualmay,PE,-11.0964,-77.6139,63.36,86,7,10.85,2021-07-26 01:25:04,clear sky
29,Busselton,AU,-33.65,115.3333,63.05,69,0,23.4,2021-07-26 01:25:04,clear sky
